date,average_temperature,city,country,latitude,longitude
1743-11-01,8.248,Rome,Italy,42.5,13
1744-04-01,12.154,Rome,Italy,42.5,13
1744-05-01,13.667,Rome,Italy,42.5,13
1744-06-01,18.179,Rome,Italy,42.5,13
1744-07-01,21.03,Rome,Italy,42.5,13
1744-09-01,17.004,Rome,Italy,42.5,13
1744-10-01,12.053,Rome,Italy,42.5,13
1744-11-01,8.017,Rome,Italy,42.5,13
1744-12-01,4.043,Rome,Italy,42.5,13
1745-01-01,1.583,Rome,Italy,42.5,13
1745-02-01,3.379,Rome,Italy,42.5,13
1745-03-01,5.606,Rome,Italy,42.5,13
1745-04-01,10.041,Rome,Italy,42.5,13
1750-01-01,3.095,Rome,Italy,42.5,13
1750-02-01,5.768,Rome,Italy,42.5,13
1750-03-01,8.685,Rome,Italy,42.5,13
1750-04-01,10.22,Rome,Italy,42.5,13
1750-05-01,14.839,Rome,Italy,42.5,13
1750-06-01,18.85,Rome,Italy,42.5,13
1750-07-01,23.306,Rome,Italy,42.5,13
1750-08-01,21.582,Rome,Italy,42.5,13
1750-09-01,17.304,Rome,Italy,42.5,13
1750-10-01,10.489,Rome,Italy,42.5,13
1750-12-01,3.668,Rome,Italy,42.5,13
1751-01-01,2.86,Rome,Italy,42.5,13
1751-02-01,2.242,Rome,Italy,42.5,13
1751-03-01,8.377,Rome,Italy,42.5,13
1751-04-01,9.349,Rome,Italy,42.5,13
1751-06-01,20.076,Rome,Italy,42.5,13
1751-07-01,22.358,Rome,Italy,42.5,13
1751-08-01,22.048,Rome,Italy,42.5,13
1751-09-01,16.608,Rome,Italy,42.5,13
1752-01-01,1.76,Rome,Italy,42.5,13
1752-03-01,8.047,Rome,Italy,42.5,13
1752-04-01,9.907,Rome,Italy,42.5,13
1752-10-01,11.966,Rome,Italy,42.5,13
1752-11-01,9.029,Rome,Italy,42.5,13
1752-12-01,5.344,Rome,Italy,42.5,13
1753-01-01,0.6,Rome,Italy,42.5,13
1753-02-01,2.651,Rome,Italy,42.5,13
1753-03-01,7.867,Rome,Italy,42.5,13
1753-04-01,10.367,Rome,Italy,42.5,13
1753-05-01,15.278,Rome,Italy,42.5,13
1753-06-01,21.708,Rome,Italy,42.5,13
1753-07-01,23.235,Rome,Italy,42.5,13
1753-08-01,21.079,Rome,Italy,42.5,13
1753-09-01,18.215,Rome,Italy,42.5,13
1753-10-01,12.858,Rome,Italy,42.5,13
1753-11-01,6.508,Rome,Italy,42.5,13
1753-12-01,3.176,Rome,Italy,42.5,13
1754-01-01,1.002,Rome,Italy,42.5,13
1754-02-01,0.421,Rome,Italy,42.5,13
1754-03-01,4.149,Rome,Italy,42.5,13
1754-04-01,11.001,Rome,Italy,42.5,13
1754-05-01,15.581,Rome,Italy,42.5,13
1754-06-01,20.356,Rome,Italy,42.5,13
1754-07-01,21.689,Rome,Italy,42.5,13
1754-08-01,22.011,Rome,Italy,42.5,13
1754-09-01,17.617,Rome,Italy,42.5,13
